Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp
1.843,0.0743211,0.0990948,0.0743211,0.0867079,0.0371605,0.0619342,0.0990948,0.0990948,0,0.0123868,0.0619342,0.0247737,0.0371605,0.0619342,0.0247737,0.0123868,0,0,0,0,1.65984,6.96141,12.6346,11.7799,11.111,10.0333,5.57408,2.19247,0.805145,0.396379,0.123868,0.148642,0.346832,5.48737,11.3959,16.6108,14.9757,13.8361,11.656,6.1191,2.31634,0.990948,0.445927,0.19819,0.0495474,0.111482
1.981,0.0123868,0.0495474,0.0247737,0.0619342,0.0495474,0.0247737,0.0619342,0.0123868,0.0495474,0.0123868,0.0743211,0.0495474,0.0867079,0.0743211,0.0123868,0.0123868,0,0.0123868,0,0,1.05288,3.91424,7.27108,7.17199,6.57742,6.02001,3.2949,1.28823,0.545021,0.210576,0.0867079,0.0495474,0.210576,3.30729,6.62696,9.33968,8.76989,8.11339,7.5312,3.394,1.25107,0.421153,0.247737,0,0.0123868,0.0371605
2.129,0.0247737,0.0247737,0.0123868,0.0371605,0.0371605,0.0495474,0.0247737,0.0247737,0.0247737,0.0123868,0.0371605,0.0247737,0.0990948,0.0495474,0.0123868,0,0,0,0,0,0.458313,2.34111,4.29824,3.90186,3.46832,3.2949,1.94474,0.792758,0.19819,0.148642,0.0123868,0.0123868,0.185803,1.89519,3.91424,5.77227,4.48404,4.43449,4.26108,1.82087,0.582182,0.173416,0.111482,0.0371605,0.0123868,0.0867079
2.288,0.0371605,0.0371605,0.0619342,0.0495474,0.0619342,0.0619342,0.0247737,0.0123868,0.0247737,0,0.0619342,0.0371605,0.0495474,0.0619342,0.0123868,0.0123868,0,0,0,0,0.272511,1.17675,2.20486,2.0686,2.11815,1.79609,1.0405,0.334445,0.173416,0.123868,0,0.0371605,0.0247737,0.70605,2.03144,2.56408,2.86136,2.22963,1.79609,0.941401,0.210576,0.0990948,0.0247737,0.0123868,0.0123868,0.0247737
2.458,0.0247737,0.0495474,0.0123868,0.0495474,0.0371605,0.0247737,0.0247737,0.0371605,0.0371605,0,0.0495474,0.0247737,0.0619342,0.0495474,0.0371605,0.0123868,0,0,0,0,0.0990948,0.817532,1.35017,1.17675,1.1272,1.05288,0.582182,0.272511,0.0619342,0.0495474,0.0371605,0.0371605,0.0743211,0.334445,1.17675,1.64745,1.4121,1.1272,1.01572,0.681277,0.123868,0.0247737,0.0123868,0.0123868,0,0.0247737
2.642,0.0247737,0.0371605,0.0371605,0.0371605,0.0619342,0.0619342,0.0247737,0,0.0123868,0,0.0495474,0.0123868,0.0123868,0.0123868,0.0123868,0,0,0.0123868,0,0,0.0371605,0.396379,0.780371,0.929014,0.867079,0.606956,0.408766,0.0990948,0.0619342,0.0371605,0,0.0247737,0.0247737,0.272511,0.582182,0.929014,0.879466,0.743211,0.681277,0.284898,0.0867079,0.0123868,0,0,0,0.0495474
2.839,0.0123868,0,0.0123868,0.0247737,0.0743211,0.0247737,0.0371605,0.0371605,0.0123868,0,0.0123868,0.0123868,0.0123868,0.0247737,0,0,0.0123868,0,0,0.0123868,0.0247737,0.383992,0.4707,0.545021,0.532635,0.396379,0.19819,0.0867079,0.0867079,0.0123868,0.0123868,0.0247737,0.0247737,0.19819,0.334445,0.656503,0.557408,0.396379,0.681277,0.161029,0.0619342,0.0743211,0,0,0.0123868,0.0247737
3.051,0.0123868,0,0.0123868,0,0.0247737,0,0.0123868,0.0123868,0,0,0.0123868,0.0123868,0.0371605,0.0123868,0.0247737,0,0,0,0,0,0.0619342,0.222963,0.322058,0.359219,0.383992,0.371605,0.0990948,0.161029,0.0247737,0.0247737,0.0123868,0,0.0247737,0.0743211,0.161029,0.445927,0.334445,0.284898,0.284898,0.136255,0.0495474,0.0247737,0,0.0123868,0.0371605,0.0495474
3.278,0.0247737,0.0247737,0.0495474,0.0247737,0.0371605,0.0371605,0,0,0.0247737,0,0,0.0247737,0,0.0247737,0,0.0247737,0,0,0,0,0.0371605,0.123868,0.210576,0.247737,0.136255,0.346832,0.111482,0.0619342,0.0123868,0.0123868,0,0,0.0123868,0.136255,0.260124,0.346832,0.260124,0.247737,0.322058,0.136255,0.0371605,0.0247737,0,0,0,0
3.523,0.0247737,0.0123868,0,0.0247737,0.0247737,0.0123868,0.0123868,0.0247737,0.0123868,0.0123868,0,0.0123868,0.0123868,0.0123868,0,0,0.0123868,0,0,0,0.0247737,0.161029,0.173416,0.309671,0.222963,0.260124,0.0867079,0.123868,0.0371605,0.0123868,0.0123868,0.0123868,0.0123868,0.111482,0.161029,0.136255,0.19819,0.23535,0.23535,0.0990948,0.0123868,0.0371605,0.0123868,0,0,0.0123868
