Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_APS_Collocation_20220622.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Date,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22
Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
2.642,5.61665e-006,8.42498e-006,8.42498e-006,8.42498e-006,1.40416e-005,1.40416e-005,5.61665e-006,0,2.80833e-006,0,1.12333e-005,2.80833e-006,2.80833e-006,2.80833e-006,2.80833e-006,0,0,2.80833e-006,0,0,8.42498e-006,8.98665e-005,0.000176925,0.000210625,0.000196583,0.000137608,9.26748e-005,2.24666e-005,1.40416e-005,8.42498e-006,0,5.61665e-006,5.61665e-006,6.17832e-005,0.000131991,0.000210625,0.000199391,0.0001685,0.000154458,6.45915e-005,1.96583e-005,2.80833e-006,0,0,0,1.12333e-005
2.839,3.48496e-006,0,3.48496e-006,6.96992e-006,2.09098e-005,6.96992e-006,1.04549e-005,1.04549e-005,3.48496e-006,0,3.48496e-006,3.48496e-006,3.48496e-006,6.96992e-006,0,0,3.48496e-006,0,0,3.48496e-006,6.96992e-006,0.000108034,0.000132428,0.000153338,0.000149853,0.000111519,5.57594e-005,2.43947e-005,2.43947e-005,3.48496e-006,3.48496e-006,6.96992e-006,6.96992e-006,5.57594e-005,9.40939e-005,0.000184703,0.000156823,0.000111519,0.000191673,4.53045e-005,1.74248e-005,2.09098e-005,0,0,3.48496e-006,6.96992e-006
3.051,4.32462e-006,0,4.32462e-006,0,8.64924e-006,0,4.32462e-006,4.32462e-006,0,0,4.32462e-006,4.32462e-006,1.29739e-005,4.32462e-006,8.64924e-006,0,0,0,0,0,2.16231e-005,7.78431e-005,0.00011244,0.000125414,0.000134063,0.000129739,3.45969e-005,5.622e-005,8.64924e-006,8.64924e-006,4.32462e-006,0,8.64924e-006,2.59477e-005,5.622e-005,0.000155686,0.000116765,9.94662e-005,9.94662e-005,4.75708e-005,1.72985e-005,8.64924e-006,0,4.32462e-006,1.29739e-005,1.72985e-005
3.278,1.07332e-005,1.07332e-005,2.14663e-005,1.07332e-005,1.60997e-005,1.60997e-005,0,0,1.07332e-005,0,0,1.07332e-005,0,1.07332e-005,0,1.07332e-005,0,0,0,0,1.60997e-005,5.36658e-005,9.12319e-005,0.000107332,5.90324e-005,0.000150264,4.82992e-005,2.68329e-005,5.36658e-006,5.36658e-006,0,0,5.36658e-006,5.90324e-005,0.000112698,0.000150264,0.000112698,0.000107332,0.000139531,5.90324e-005,1.60997e-005,1.07332e-005,0,0,0,0
3.523,1.33192e-005,6.65959e-006,0,1.33192e-005,1.33192e-005,6.65959e-006,6.65959e-006,1.33192e-005,6.65959e-006,6.65959e-006,0,6.65959e-006,6.65959e-006,6.65959e-006,0,0,6.65959e-006,0,0,0,1.33192e-005,8.65747e-005,9.32343e-005,0.00016649,0.000119873,0.000139851,4.66172e-005,6.65959e-005,1.99788e-005,6.65959e-006,6.65959e-006,6.65959e-006,6.65959e-006,5.99363e-005,8.65747e-005,7.32555e-005,0.000106554,0.000126532,0.000126532,5.32768e-005,6.65959e-006,1.99788e-005,6.65959e-006,0,0,6.65959e-006
3.786,1.65283e-005,0,0,2.47924e-005,1.65283e-005,1.65283e-005,8.26414e-006,2.47924e-005,8.26414e-006,0,8.26414e-006,0,0,0,0,0,0,0,0,0,2.47924e-005,8.26414e-005,0.000157019,0.000165283,0.000181811,0.000123962,0.00014049,2.47924e-005,1.65283e-005,1.65283e-005,0,0,0,4.95849e-005,0.000132226,0.000181811,0.000165283,0.000165283,9.91697e-005,6.61131e-005,3.30566e-005,1.65283e-005,8.26414e-006,0,8.26414e-006,0
4.068,1.02553e-005,1.02553e-005,0,3.07659e-005,2.05106e-005,0,1.02553e-005,1.02553e-005,2.05106e-005,0,0,0,0,0,0,1.02553e-005,0,0,0,0,2.05106e-005,6.15317e-005,0.000164085,0.000297403,0.000225616,0.000215361,0.000102553,2.05106e-005,2.05106e-005,2.05106e-005,0,2.05106e-005,0,4.10211e-005,0.000112808,0.000205106,0.00017434,6.15317e-005,0.000184595,4.10211e-005,5.12764e-005,0,0,0,1.02553e-005,4.10211e-005
4.371,0,1.27262e-005,0,0,1.27262e-005,0,2.54523e-005,0,0,0,0,2.54523e-005,0,0,0,0,0,0,0,0,2.54523e-005,8.90832e-005,0.000216345,0.000241797,0.000178166,0.000114536,0.000178166,6.36309e-005,0,1.27262e-005,0,1.27262e-005,1.27262e-005,0.000203619,0.000178166,0.000229071,0.000203619,0.000178166,0.000139988,7.6357e-005,5.09047e-005,1.27262e-005,0,0,1.27262e-005,2.54523e-005
4.698,1.57924e-005,0,1.57924e-005,1.57924e-005,3.15848e-005,0,3.15848e-005,1.57924e-005,0,1.57924e-005,0,1.57924e-005,0,1.57924e-005,0,0,0,0,0,0,7.89619e-005,4.73772e-005,0.000236886,0.000315848,0.000205301,0.000268471,9.47543e-005,4.73772e-005,0,1.57924e-005,0,0,0,4.73772e-005,9.47543e-005,0.000252678,0.000315848,0.000142131,0.000268471,0.000126339,4.73772e-005,1.57924e-005,1.57924e-005,0,0,3.15848e-005
5.048,0,1.95974e-005,0,0,1.95974e-005,0,0,3.91947e-005,0,0,0,0,1.95974e-005,0,0,0,0,0,0,0,1.95974e-005,0.000176376,0.000352753,0.000215571,0.000156779,0.000293961,0.000176376,5.87921e-005,3.91947e-005,0,0,0,0,3.91947e-005,0.000215571,0.000274363,0.000137182,0.000235168,0.000215571,0.000156779,3.91947e-005,7.83895e-005,0,1.95974e-005,1.95974e-005,1.95974e-005
