Gas Viscosity (Pa*s),1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005
Diameter Midpoint (nm)
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.026,0.027,0.022,0.018,0.012,0.005,0.003,0.001,0.001,0.000,0.000,0.007,0.020,0.030,0.028,0.023,0.018,0.011,0.005,0.002,0.001,0.001,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.031,0.030,0.025,0.021,0.015,0.006,0.003,0.001,0.001,0.000,0.000,0.007,0.022,0.034,0.031,0.026,0.022,0.013,0.006,0.003,0.001,0.001,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.036,0.035,0.029,0.025,0.017,0.008,0.003,0.002,0.001,0.000,0.000,0.009,0.026,0.039,0.036,0.030,0.025,0.015,0.007,0.004,0.002,0.001,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.040,0.040,0.034,0.028,0.019,0.008,0.004,0.002,0.001,0.000,0.000,0.010,0.030,0.044,0.041,0.035,0.029,0.018,0.008,0.004,0.002,0.001,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.047,0.044,0.039,0.033,0.023,0.010,0.005,0.002,0.001,0.001,0.000,0.012,0.034,0.050,0.047,0.040,0.032,0.020,0.009,0.004,0.002,0.001,0.001,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.030,0.052,0.051,0.044,0.036,0.026,0.012,0.005,0.002,0.001,0.001,0.000,0.014,0.038,0.057,0.055,0.046,0.038,0.024,0.010,0.005,0.003,0.001,0.001,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.033,0.059,0.058,0.050,0.043,0.030,0.013,0.006,0.003,0.001,0.001,0.000,0.016,0.044,0.067,0.062,0.052,0.043,0.028,0.013,0.006,0.003,0.002,0.001,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.037,0.067,0.067,0.057,0.048,0.035,0.015,0.007,0.003,0.002,0.001,0.000,0.018,0.051,0.077,0.069,0.059,0.051,0.031,0.014,0.007,0.003,0.002,0.001,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.042,0.076,0.075,0.065,0.056,0.039,0.017,0.008,0.004,0.002,0.001,0.001,0.020,0.057,0.085,0.077,0.067,0.059,0.036,0.016,0.008,0.004,0.002,0.001,0.001
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.049,0.088,0.085,0.075,0.064,0.043,0.019,0.010,0.004,0.002,0.001,0.001,0.026,0.066,0.098,0.089,0.077,0.067,0.043,0.019,0.009,0.004,0.002,0.001,0.001
