Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:01,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00
Sample Temp (C),23.5,23.5,23.6,23.6,23.6,23.7,23.7,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.9,23.8,23.9,23.9,23.9,23.9,23.9,23.9,23.9
Sample Pressure (kPa),81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.1,81.1,81.1,81.2
Relative Humidity (%),41.3,41.3,41.3,41.3,41.3,41.4,41.4,41.4,41.4,41.4,41.5,41.5,41.5,41.5,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.9,41.9,41.9,42.0
Mean Free Path (m),8.41395e-008,8.41395e-008,8.41756e-008,8.41756e-008,8.41756e-008,8.42116e-008,8.42116e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42837e-008,8.42477e-008,8.42837e-008,8.42837e-008,8.42837e-008,8.43877e-008,8.43877e-008,8.43877e-008,8.42837e-008
Gas Viscosity (Pa*s),1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005
Diameter Midpoint (nm)
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.102,0.081,0.063,0.050,0.041,0.033,0.027,0.022,0.019,0.016,0.014,0.012,0.010,0.008,0.008,0.007,0.006,0.005
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.120,0.096,0.075,0.062,0.050,0.040,0.033,0.028,0.023,0.020,0.018,0.015,0.013,0.011,0.010,0.009,0.008,0.007
 41.4,0.001,0.000,0.000,0.000,0.000,0.000,0.181,0.142,0.114,0.091,0.073,0.061,0.049,0.042,0.034,0.030,0.026,0.022,0.019,0.017,0.014,0.012,0.012,0.010,0.009
 42.9,0.001,0.000,0.000,0.000,0.000,0.000,0.210,0.164,0.136,0.110,0.089,0.074,0.060,0.051,0.043,0.038,0.033,0.027,0.025,0.022,0.019,0.016,0.015,0.013,0.011
 44.5,0.001,0.000,0.000,0.000,0.000,0.000,0.243,0.193,0.159,0.127,0.105,0.089,0.073,0.062,0.053,0.046,0.040,0.035,0.030,0.026,0.024,0.020,0.019,0.016,0.015
 46.1,0.001,0.001,0.000,0.000,0.000,0.000,0.276,0.225,0.190,0.155,0.127,0.108,0.091,0.078,0.067,0.058,0.051,0.043,0.038,0.034,0.029,0.026,0.025,0.022,0.019
 47.8,0.001,0.001,0.000,0.000,0.000,0.000,0.325,0.269,0.223,0.185,0.155,0.130,0.108,0.094,0.082,0.072,0.062,0.055,0.049,0.044,0.038,0.033,0.031,0.027,0.025
 49.6,0.002,0.001,0.001,0.000,0.000,0.000,0.387,0.316,0.266,0.220,0.184,0.158,0.136,0.117,0.103,0.088,0.081,0.071,0.062,0.056,0.048,0.044,0.039,0.036,0.033
 51.4,0.002,0.001,0.000,0.000,0.000,0.000,0.447,0.376,0.312,0.266,0.224,0.191,0.163,0.143,0.124,0.111,0.099,0.086,0.078,0.070,0.064,0.057,0.051,0.046,0.042
 53.3,0.003,0.002,0.001,0.000,0.000,0.000,0.523,0.438,0.369,0.316,0.270,0.229,0.200,0.174,0.154,0.138,0.122,0.108,0.096,0.086,0.078,0.073,0.066,0.058,0.053
 55.2,0.003,0.002,0.001,0.000,0.000,0.001,0.616,0.505,0.429,0.370,0.320,0.275,0.238,0.214,0.189,0.170,0.153,0.132,0.117,0.109,0.101,0.089,0.084,0.077,0.067
