Mean Free Path (m),8.35276e-008,8.35634e-008,8.35634e-008,8.35991e-008,8.35991e-008,8.36349e-008,8.35329e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37421e-008,8.37421e-008
Gas Viscosity (Pa*s),1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83913e-005,1.83913e-005
Diameter Midpoint (nm)
 41.4,0.000,0.000,0.000,0.000,0.000,0.003,0.049,0.045,0.042,0.040,0.038,0.036,0.033,0.031,0.029,0.027,0.026,0.025,0.023,0.023,0.021,0.020,0.019,0.018,0.017,0.016,0.015
 42.9,0.000,0.000,0.000,0.000,0.000,0.004,0.053,0.050,0.046,0.044,0.041,0.040,0.036,0.034,0.033,0.031,0.029,0.026,0.026,0.025,0.023,0.023,0.021,0.020,0.019,0.018,0.017
 44.5,0.000,0.000,0.000,0.000,0.000,0.005,0.058,0.054,0.050,0.048,0.045,0.043,0.041,0.039,0.036,0.034,0.032,0.030,0.028,0.028,0.026,0.025,0.024,0.023,0.022,0.020,0.019
 46.1,0.000,0.000,0.000,0.000,0.000,0.006,0.064,0.060,0.056,0.052,0.051,0.046,0.046,0.043,0.039,0.038,0.036,0.034,0.032,0.031,0.030,0.028,0.027,0.027,0.025,0.022,0.022
 47.8,0.000,0.000,0.000,0.000,0.000,0.007,0.070,0.065,0.061,0.058,0.056,0.051,0.050,0.047,0.044,0.041,0.040,0.038,0.036,0.033,0.033,0.031,0.029,0.028,0.027,0.025,0.024
 49.6,0.000,0.000,0.000,0.000,0.000,0.008,0.075,0.071,0.068,0.066,0.060,0.057,0.055,0.052,0.048,0.046,0.044,0.042,0.039,0.038,0.036,0.035,0.032,0.032,0.030,0.029,0.028
 51.4,0.000,0.000,0.000,0.000,0.000,0.009,0.081,0.079,0.073,0.070,0.066,0.063,0.058,0.057,0.053,0.051,0.050,0.046,0.045,0.042,0.041,0.038,0.035,0.036,0.034,0.032,0.031
 53.3,0.000,0.000,0.000,0.000,0.000,0.011,0.089,0.086,0.080,0.076,0.072,0.070,0.066,0.062,0.059,0.056,0.054,0.050,0.050,0.046,0.044,0.043,0.041,0.039,0.038,0.036,0.035
 55.2,0.000,0.000,0.000,0.000,0.000,0.013,0.096,0.093,0.088,0.083,0.078,0.075,0.073,0.068,0.066,0.062,0.059,0.056,0.055,0.051,0.049,0.048,0.045,0.044,0.041,0.040,0.038
 57.3,0.000,0.000,0.000,0.000,0.000,0.015,0.104,0.100,0.095,0.092,0.087,0.082,0.077,0.076,0.073,0.068,0.065,0.062,0.060,0.058,0.055,0.053,0.049,0.048,0.047,0.044,0.043
 59.4,0.000,0.000,0.000,0.000,0.000,0.016,0.114,0.109,0.104,0.100,0.094,0.088,0.086,0.084,0.079,0.074,0.071,0.070,0.063,0.063,0.060,0.059,0.055,0.053,0.051,0.049,0.046
 61.5,0.000,0.000,0.000,0.000,0.000,0.020,0.121,0.119,0.113,0.108,0.104,0.097,0.096,0.094,0.085,0.083,0.079,0.076,0.071,0.068,0.067,0.063,0.062,0.058,0.055,0.055,0.054
 63.8,0.000,0.000,0.000,0.000,0.000,0.021,0.134,0.130,0.125,0.120,0.112,0.106,0.104,0.097,0.095,0.091,0.088,0.082,0.080,0.077,0.072,0.068,0.065,0.066,0.063,0.060,0.059
 66.1,0.000,0.000,0.000,0.000,0.000,0.025,0.141,0.140,0.133,0.131,0.125,0.117,0.112,0.110,0.105,0.097,0.092,0.090,0.090,0.083,0.082,0.075,0.074,0.071,0.069,0.065,0.064
