Start Time,10:20:00,10:23:00,10:26:00,10:29:00,10:32:01,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:52:59,10:55:59,10:58:59,11:01:59,11:04:59,11:07:59,11:11:00,11:14:00,11:17:00,11:20:00,11:23:00,11:25:59,11:29:00,11:32:00,11:35:00
Sample Temp (C),22.5,22.6,22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.2,23.2,23.3,23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.6
Sample Pressure (kPa),82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.1,82.2,82.1,82.2,82.1,82.1,82.1,82.1
Relative Humidity (%),52.8,52.7,52.6,52.4,52.3,52.2,52.1,52.1,52.0,51.9,51.8,51.8,51.7,51.6,51.6,51.5,51.5,51.4,51.4,51.3,51.3,51.2,51.1,51.1,51.0,51.0
Mean Free Path (m),8.27598e-008,8.27954e-008,8.28310e-008,8.28310e-008,8.28666e-008,8.29022e-008,8.29022e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29735e-008,8.29735e-008,8.30091e-008,8.30091e-008,8.30447e-008,8.30447e-008,8.31458e-008,8.30803e-008,8.31815e-008,8.30803e-008,8.32171e-008,8.32171e-008,8.32171e-008,8.32528e-008
Gas Viscosity (Pa*s),1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005
Diameter Midpoint (nm)
 63.8,0.000,0.000,0.000,0.000,0.000,0.026,0.136,0.131,0.122,0.118,0.110,0.106,0.101,0.096,0.092,0.090,0.086,0.082,0.079,0.076,0.073,0.069,0.066,0.064,0.062,0.058
 66.1,0.000,0.000,0.000,0.000,0.000,0.029,0.148,0.143,0.133,0.127,0.121,0.118,0.111,0.108,0.103,0.100,0.092,0.089,0.087,0.082,0.079,0.074,0.072,0.072,0.067,0.065
 68.5,0.000,0.000,0.000,0.000,0.000,0.031,0.157,0.154,0.142,0.138,0.134,0.126,0.120,0.114,0.110,0.107,0.102,0.096,0.096,0.088,0.087,0.084,0.081,0.078,0.074,0.071
 71.0,0.000,0.000,0.000,0.000,0.000,0.033,0.175,0.163,0.154,0.149,0.141,0.139,0.132,0.124,0.121,0.116,0.111,0.103,0.099,0.098,0.093,0.089,0.085,0.083,0.081,0.079
 73.7,0.000,0.000,0.000,0.000,0.000,0.035,0.180,0.174,0.165,0.160,0.155,0.144,0.139,0.135,0.128,0.126,0.121,0.113,0.109,0.107,0.100,0.096,0.093,0.087,0.084,0.083
 76.4,0.000,0.000,0.000,0.000,0.000,0.039,0.193,0.189,0.181,0.174,0.165,0.158,0.152,0.148,0.142,0.130,0.129,0.123,0.119,0.115,0.111,0.109,0.101,0.098,0.093,0.091
 79.1,0.000,0.000,0.000,0.000,0.000,0.041,0.208,0.200,0.191,0.190,0.183,0.175,0.165,0.159,0.152,0.149,0.140,0.134,0.130,0.127,0.119,0.117,0.114,0.105,0.105,0.102
 82.0,0.000,0.000,0.000,0.000,0.000,0.046,0.226,0.220,0.217,0.208,0.194,0.186,0.181,0.171,0.163,0.161,0.157,0.143,0.143,0.133,0.129,0.122,0.122,0.115,0.113,0.107
 85.1,0.000,0.000,0.000,0.000,0.000,0.047,0.246,0.240,0.231,0.227,0.209,0.197,0.188,0.184,0.182,0.175,0.164,0.156,0.155,0.150,0.146,0.139,0.134,0.129,0.124,0.115
 88.2,0.000,0.000,0.000,0.000,0.000,0.055,0.261,0.258,0.247,0.241,0.227,0.220,0.208,0.196,0.194,0.186,0.183,0.174,0.170,0.164,0.157,0.150,0.150,0.136,0.133,0.127
 91.4,0.000,0.000,0.000,0.000,0.000,0.064,0.284,0.275,0.272,0.254,0.242,0.236,0.222,0.221,0.215,0.206,0.193,0.189,0.181,0.173,0.175,0.163,0.158,0.153,0.150,0.139
 94.7,0.001,0.000,0.000,0.000,0.000,0.066,0.305,0.296,0.290,0.276,0.265,0.250,0.244,0.231,0.225,0.213,0.211,0.202,0.195,0.190,0.183,0.180,0.173,0.167,0.155,0.151
 98.2,0.000,0.000,0.000,0.000,0.000,0.073,0.332,0.320,0.315,0.298,0.290,0.274,0.264,0.257,0.239,0.241,0.232,0.227,0.215,0.206,0.197,0.188,0.184,0.182,0.172,0.167
101.8,0.001,0.000,0.000,0.000,0.000,0.088,0.363,0.340,0.339,0.326,0.306,0.297,0.295,0.275,0.259,0.251,0.243,0.238,0.228,0.223,0.213,0.204,0.206,0.194,0.187,0.177
105.5,0.001,0.000,0.000,0.000,0.000,0.103,0.385,0.375,0.373,0.352,0.335,0.319,0.313,0.297,0.289,0.276,0.273,0.268,0.244,0.243,0.235,0.227,0.219,0.211,0.202,0.193
109.4,0.001,0.001,0.000,0.000,0.000,0.118,0.416,0.398,0.393,0.380,0.354,0.336,0.329,0.322,0.307,0.303,0.291,0.277,0.277,0.255,0.257,0.248,0.235,0.225,0.225,0.205
113.4,0.001,0.001,0.000,0.000,0.000,0.125,0.446,0.444,0.420,0.405,0.391,0.372,0.368,0.346,0.346,0.327,0.319,0.312,0.289,0.288,0.283,0.263,0.250,0.247,0.234,0.230
117.6,0.001,0.001,0.000,0.000,0.000,0.139,0.488,0.487,0.456,0.421,0.415,0.403,0.380,0.383,0.361,0.357,0.344,0.329,0.313,0.305,0.301,0.285,0.273,0.269,0.264,0.241
121.9,0.002,0.001,0.001,0.000,0.000,0.148,0.518,0.488,0.477,0.465,0.458,0.435,0.424,0.407,0.390,0.368,0.364,0.352,0.346,0.323,0.324,0.307,0.305,0.284,0.269,0.257
126.3,0.002,0.001,0.001,0.000,0.000,0.156,0.531,0.526,0.509,0.500,0.482,0.478,0.445,0.426,0.427,0.405,0.394,0.364,0.362,0.346,0.338,0.328,0.323,0.314,0.300,0.292
