Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Sample Temp (C),21.8,21.7,21.8,21.9,22.0,22.1,22.2,22.3,22.4,22.4,22.5,22.6,22.6,22.7,22.7,22.8,22.8,22.8,22.8,22.9,22.9,22.9,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.1
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.2,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.2,81.3,81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),43.1,42.6,42.2,41.9,41.8,41.6,41.5,41.4,41.3,41.3,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.3,41.3,41.3,41.4,41.4,41.4,41.5,41.6,41.6,41.6,41.7,41.7
Mean Free Path (m),8.34240e-008,8.33880e-008,8.34240e-008,8.34600e-008,8.34960e-008,8.35320e-008,8.35680e-008,8.36040e-008,8.36400e-008,8.36400e-008,8.36760e-008,8.37120e-008,8.37120e-008,8.37480e-008,8.38511e-008,8.37840e-008,8.37840e-008,8.37840e-008,8.37840e-008,8.38200e-008,8.38200e-008,8.38200e-008,8.38200e-008,8.39232e-008,8.38560e-008,8.38560e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39953e-008
Gas Viscosity (Pa*s),1.82672e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005
Diameter Midpoint (nm)
 73.7,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.160,0.159,0.150,0.143,0.143,0.132,0.128,0.119,0.117,0.110,0.108,0.103,0.098,0.093,0.089,0.087,0.081,0.082,0.078,0.074,0.072,0.068
 76.4,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.176,0.176,0.167,0.160,0.148,0.145,0.142,0.130,0.128,0.121,0.116,0.115,0.110,0.102,0.098,0.095,0.093,0.089,0.086,0.081,0.079,0.077
 79.1,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.195,0.188,0.181,0.172,0.161,0.153,0.151,0.142,0.141,0.133,0.127,0.127,0.120,0.113,0.106,0.101,0.101,0.098,0.093,0.089,0.086,0.085
 82.0,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.211,0.203,0.197,0.188,0.177,0.171,0.161,0.155,0.152,0.142,0.140,0.132,0.132,0.123,0.120,0.114,0.114,0.105,0.104,0.099,0.094,0.094
 85.1,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.044,0.230,0.221,0.212,0.199,0.191,0.194,0.177,0.170,0.159,0.158,0.154,0.147,0.136,0.135,0.134,0.127,0.118,0.116,0.113,0.115,0.104,0.102
 88.2,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.048,0.244,0.239,0.228,0.219,0.214,0.204,0.195,0.185,0.178,0.173,0.165,0.159,0.157,0.144,0.145,0.139,0.133,0.130,0.126,0.119,0.117,0.116
 91.4,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.052,0.268,0.253,0.244,0.237,0.226,0.216,0.212,0.200,0.197,0.187,0.181,0.175,0.173,0.160,0.151,0.146,0.151,0.145,0.140,0.133,0.129,0.124
 94.7,0.003,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.059,0.288,0.280,0.266,0.256,0.246,0.236,0.230,0.221,0.209,0.198,0.196,0.192,0.183,0.176,0.168,0.162,0.163,0.159,0.145,0.148,0.141,0.134
 98.2,0.003,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.071,0.311,0.304,0.288,0.269,0.269,0.256,0.249,0.238,0.222,0.225,0.208,0.201,0.203,0.184,0.184,0.186,0.177,0.164,0.162,0.155,0.155,0.145
101.8,0.003,0.002,0.001,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.085,0.337,0.317,0.298,0.297,0.283,0.272,0.268,0.257,0.247,0.237,0.231,0.225,0.225,0.201,0.197,0.195,0.186,0.181,0.182,0.170,0.165,0.158
