Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,11:35:00,11:38:00,11:41:00,11:44:00,11:47:00,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00
Sample Temp (C),22.8,22.7,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.1,23.1,23.1,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),52.4,51.5,50.8,50.3,49.9,49.5,49.3,49.1,48.9,48.8,48.7,48.6,48.5,48.4,48.4,48.3,48.3,48.2,48.2,48.1,48.1,48.0,48.0,48.0,47.9
Mean Free Path (m),8.37840e-008,8.37480e-008,8.37840e-008,8.38200e-008,8.38200e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 40.0,0.000,0.000,0.000,0.000,0.000,0.029,0.248,0.201,0.165,0.137,0.117,0.100,0.085,0.074,0.063,0.056,0.048,0.043,0.038,0.034,0.031,0.028,0.025,0.022,0.021
 41.4,0.000,0.000,0.000,0.000,0.000,0.040,0.293,0.239,0.197,0.164,0.140,0.121,0.102,0.089,0.077,0.068,0.060,0.055,0.048,0.042,0.038,0.035,0.032,0.029,0.026
 42.9,0.000,0.000,0.000,0.000,0.000,0.054,0.343,0.278,0.233,0.196,0.166,0.146,0.125,0.108,0.096,0.085,0.074,0.067,0.059,0.053,0.049,0.043,0.040,0.036,0.033
 44.5,0.000,0.000,0.000,0.000,0.000,0.068,0.399,0.324,0.275,0.231,0.200,0.175,0.150,0.129,0.116,0.102,0.092,0.082,0.073,0.066,0.059,0.056,0.049,0.045,0.041
 46.1,0.000,0.000,0.000,0.000,0.000,0.082,0.468,0.388,0.328,0.276,0.239,0.206,0.179,0.155,0.142,0.127,0.113,0.101,0.092,0.082,0.074,0.069,0.061,0.056,0.051
 47.8,0.000,0.000,0.000,0.000,0.000,0.106,0.538,0.448,0.382,0.323,0.284,0.250,0.216,0.191,0.170,0.153,0.135,0.124,0.112,0.101,0.093,0.085,0.077,0.072,0.064
 49.6,0.001,0.000,0.000,0.000,0.000,0.148,0.629,0.522,0.455,0.385,0.339,0.299,0.260,0.230,0.205,0.186,0.166,0.153,0.141,0.125,0.116,0.108,0.097,0.088,0.083
 51.4,0.001,0.000,0.000,0.000,0.000,0.202,0.727,0.606,0.538,0.459,0.404,0.357,0.314,0.277,0.246,0.226,0.207,0.184,0.171,0.155,0.144,0.130,0.120,0.110,0.103
 53.3,0.001,0.000,0.000,0.000,0.000,0.263,0.836,0.711,0.623,0.536,0.474,0.422,0.373,0.333,0.298,0.274,0.249,0.223,0.213,0.188,0.176,0.159,0.145,0.137,0.126
 55.2,0.001,0.001,0.000,0.000,0.000,0.340,0.969,0.821,0.728,0.634,0.560,0.500,0.443,0.396,0.361,0.328,0.297,0.270,0.254,0.232,0.216,0.199,0.182,0.168,0.155
 57.3,0.001,0.001,0.000,0.000,0.000,0.434,1.109,0.958,0.842,0.749,0.661,0.585,0.532,0.472,0.434,0.395,0.360,0.329,0.308,0.281,0.260,0.239,0.222,0.209,0.191
 59.4,0.002,0.001,0.001,0.000,0.000,0.530,1.275,1.114,0.977,0.874,0.770,0.701,0.629,0.560,0.521,0.472,0.431,0.392,0.368,0.339,0.317,0.291,0.271,0.249,0.235
 61.5,0.002,0.001,0.001,0.001,0.000,0.649,1.448,1.278,1.132,1.016,0.903,0.820,0.739,0.650,0.617,0.557,0.517,0.472,0.445,0.408,0.381,0.351,0.328,0.304,0.285
 63.8,0.003,0.002,0.001,0.000,0.000,0.787,1.651,1.480,1.317,1.190,1.050,0.958,0.863,0.774,0.730,0.667,0.621,0.556,0.528,0.488,0.468,0.422,0.393,0.371,0.348
 66.1,0.003,0.002,0.001,0.001,0.000,0.880,1.894,1.687,1.506,1.363,1.224,1.115,1.024,0.921,0.851,0.783,0.728,0.673,0.624,0.582,0.551,0.504,0.468,0.450,0.417
 68.5,0.005,0.002,0.002,0.001,0.001,1.003,2.163,1.929,1.728,1.559,1.413,1.287,1.178,1.088,1.007,0.918,0.859,0.781,0.742,0.687,0.641,0.603,0.565,0.535,0.502
 71.0,0.005,0.003,0.001,0.001,0.000,1.134,2.408,2.172,1.948,1.776,1.613,1.479,1.344,1.232,1.155,1.063,0.989,0.915,0.852,0.802,0.751,0.700,0.657,0.614,0.579
 73.7,0.005,0.003,0.002,0.001,0.000,1.289,2.694,2.441,2.187,1.980,1.809,1.688,1.540,1.405,1.323,1.221,1.124,1.037,0.992,0.920,0.867,0.801,0.754,0.718,0.678
 76.4,0.008,0.004,0.002,0.001,0.000,1.499,3.055,2.786,2.502,2.303,2.103,1.935,1.774,1.647,1.523,1.420,1.316,1.228,1.153,1.073,1.008,0.956,0.900,0.837,0.796
 79.1,0.009,0.004,0.002,0.001,0.001,1.686,3.414,3.142,2.823,2.601,2.404,2.213,2.015,1.909,1.754,1.643,1.535,1.433,1.351,1.261,1.185,1.119,1.059,1.002,0.941
 82.0,0.011,0.005,0.002,0.001,0.001,1.831,3.791,3.449,3.148,2.936,2.690,2.494,2.299,2.177,2.017,1.903,1.747,1.649,1.568,1.460,1.362,1.285,1.234,1.178,1.109
 85.1,0.013,0.006,0.004,0.002,0.001,2.076,4.176,3.822,3.551,3.277,3.022,2.819,2.607,2.467,2.292,2.157,2.027,1.897,1.792,1.689,1.590,1.506,1.436,1.370,1.290
 88.2,0.016,0.008,0.004,0.002,0.001,2.390,4.600,4.254,3.940,3.675,3.407,3.191,2.977,2.805,2.634,2.469,2.322,2.165,2.069,1.961,1.846,1.756,1.660,1.597,1.490
 91.4,0.019,0.010,0.006,0.002,0.002,2.766,5.013,4.640,4.339,4.056,3.787,3.548,3.325,3.157,2.976,2.782,2.618,2.484,2.349,2.236,2.106,1.998,1.901,1.847,1.728
