Start Time,10:10:01,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:01,11:19:01,11:22:00
Sample Temp (C),21.6,21.7,21.8,21.9,22.0,22.1,22.2,22.2,22.3,22.3,22.4,22.4,22.4,22.5,22.5,22.5,22.6,22.6,22.6,22.7,22.7,22.7,22.7,22.8,22.8
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.3,81.4,81.3,81.4,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),55.7,56.0,56.3,56.4,56.4,56.4,56.4,56.2,56.1,56.0,55.9,55.7,55.6,55.4,55.3,55.2,55.0,54.9,54.8,54.6,54.5,54.4,54.3,54.2,54.1
Mean Free Path (m),8.32496e-008,8.32856e-008,8.33215e-008,8.33575e-008,8.34960e-008,8.34294e-008,8.35680e-008,8.34653e-008,8.36040e-008,8.35013e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36760e-008,8.36760e-008,8.36760e-008,8.37120e-008,8.37120e-008,8.37120e-008,8.37480e-008,8.37480e-008,8.37480e-008,8.37480e-008,8.37840e-008,8.37840e-008
Gas Viscosity (Pa*s),1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
 47.8,0.000,0.000,0.000,0.000,0.000,0.073,0.315,0.232,0.171,0.128,0.097,0.076,0.061,0.047,0.039,0.032,0.027,0.022,0.017,0.016,0.013,0.011,0.009,0.008,0.007
 49.6,0.000,0.000,0.000,0.000,0.000,0.107,0.386,0.285,0.214,0.160,0.127,0.099,0.082,0.064,0.053,0.043,0.038,0.032,0.026,0.023,0.020,0.016,0.015,0.013,0.011
 51.4,0.000,0.000,0.000,0.000,0.000,0.166,0.461,0.347,0.264,0.201,0.160,0.124,0.106,0.083,0.071,0.057,0.051,0.044,0.036,0.031,0.028,0.023,0.020,0.018,0.016
 53.3,0.000,0.000,0.000,0.000,0.000,0.234,0.541,0.415,0.323,0.242,0.198,0.158,0.134,0.109,0.094,0.075,0.066,0.059,0.047,0.041,0.035,0.032,0.029,0.024,0.023
 55.2,0.000,0.000,0.000,0.000,0.000,0.340,0.649,0.504,0.393,0.303,0.246,0.202,0.167,0.139,0.121,0.101,0.086,0.077,0.065,0.056,0.049,0.043,0.039,0.035,0.030
 57.3,0.000,0.000,0.000,0.000,0.000,0.447,0.787,0.605,0.472,0.379,0.307,0.255,0.210,0.177,0.153,0.131,0.111,0.100,0.083,0.072,0.067,0.059,0.052,0.047,0.044
 59.4,0.001,0.000,0.000,0.000,0.000,0.570,0.931,0.734,0.567,0.470,0.384,0.326,0.263,0.227,0.200,0.172,0.147,0.129,0.110,0.095,0.089,0.079,0.072,0.062,0.058
 61.5,0.001,0.000,0.000,0.000,0.000,0.804,1.123,0.887,0.705,0.584,0.472,0.408,0.333,0.288,0.251,0.223,0.191,0.167,0.143,0.123,0.114,0.102,0.095,0.086,0.078
 63.8,0.001,0.000,0.000,0.000,0.000,1.032,1.342,1.076,0.850,0.712,0.588,0.500,0.434,0.368,0.314,0.280,0.244,0.218,0.187,0.167,0.151,0.137,0.123,0.115,0.105
 66.1,0.001,0.000,0.000,0.000,0.000,1.322,1.598,1.293,1.029,0.871,0.717,0.629,0.537,0.466,0.402,0.364,0.309,0.282,0.246,0.221,0.193,0.182,0.161,0.146,0.135
 68.5,0.001,0.000,0.000,0.000,0.000,1.671,1.916,1.571,1.264,1.069,0.899,0.779,0.674,0.580,0.504,0.458,0.399,0.355,0.309,0.280,0.257,0.231,0.204,0.200,0.174
 71.0,0.001,0.001,0.000,0.000,0.000,2.048,2.168,1.769,1.454,1.215,1.042,0.891,0.762,0.662,0.572,0.515,0.452,0.395,0.348,0.325,0.287,0.263,0.228,0.214,0.195
 73.7,0.001,0.000,0.000,0.000,0.000,2.556,2.472,1.993,1.642,1.409,1.186,1.029,0.873,0.748,0.663,0.589,0.509,0.448,0.401,0.370,0.330,0.293,0.256,0.239,0.218
 76.4,0.001,0.001,0.000,0.000,0.000,3.272,2.926,2.375,2.026,1.713,1.454,1.255,1.077,0.938,0.808,0.749,0.642,0.557,0.502,0.466,0.415,0.365,0.331,0.301,0.283
 79.1,0.001,0.001,0.000,0.000,0.000,3.785,3.445,2.797,2.393,2.059,1.778,1.511,1.301,1.131,1.008,0.901,0.799,0.706,0.646,0.566,0.523,0.482,0.403,0.371,0.353
 82.0,0.001,0.001,0.000,0.000,0.000,4.239,4.079,3.313,2.856,2.429,2.146,1.813,1.614,1.379,1.222,1.098,0.977,0.869,0.804,0.725,0.645,0.587,0.516,0.474,0.456
 85.1,0.001,0.001,0.000,0.000,0.000,4.867,4.793,3.920,3.349,2.880,2.527,2.203,1.951,1.688,1.489,1.341,1.211,1.070,0.994,0.908,0.797,0.729,0.650,0.607,0.573
 88.2,0.002,0.001,0.001,0.000,0.000,5.578,5.532,4.683,4.046,3.452,3.042,2.639,2.379,2.082,1.840,1.619,1.501,1.349,1.234,1.109,1.020,0.939,0.814,0.760,0.708
 91.4,0.002,0.001,0.001,0.000,0.000,6.574,6.456,5.576,4.785,4.143,3.671,3.188,2.867,2.503,2.217,1.982,1.820,1.666,1.490,1.404,1.266,1.140,1.036,0.960,0.870
 94.7,0.002,0.001,0.001,0.000,0.000,7.818,7.462,6.565,5.662,4.892,4.391,3.850,3.428,2.987,2.698,2.426,2.229,2.031,1.806,1.697,1.543,1.418,1.279,1.198,1.076
 98.2,0.001,0.001,0.001,0.000,0.000,9.331,8.794,7.628,6.683,5.904,5.248,4.618,4.142,3.674,3.289,2.954,2.769,2.517,2.228,2.072,1.945,1.761,1.632,1.523,1.339
101.8,0.003,0.002,0.001,0.000,0.000,11.056,10.281,8.967,7.975,6.988,6.309,5.526,4.951,4.482,4.005,3.616,3.331,3.044,2.810,2.558,2.372,2.200,2.041,1.839,1.685
105.5,0.002,0.002,0.001,0.000,0.000,13.036,12.015,10.441,9.282,8.251,7.467,6.599,5.926,5.412,4.809,4.436,4.082,3.717,3.446,3.112,2.896,2.706,2.528,2.279,2.121
109.4,0.003,0.002,0.000,0.000,0.000,15.154,13.843,12.403,10.855,9.652,8.686,7.843,7.092,6.487,5.816,5.328,4.901,4.528,4.201,3.803,3.580,3.310,3.102,2.839,2.605
113.4,0.003,0.001,0.001,0.001,0.000,17.489,15.915,14.379,12.655,11.396,10.202,9.362,8.416,7.717,6.925,6.359,5.881,5.567,5.122,4.583,4.317,4.036,3.806,3.468,3.208
117.6,0.004,0.003,0.001,0.001,0.000,20.295,18.524,16.492,14.725,13.395,11.969,10.874,10.141,9.229,8.292,7.648,7.032,6.733,6.118,5.575,5.206,4.842,4.698,4.281,3.994
121.9,0.005,0.002,0.001,0.000,0.000,23.204,21.149,19.008,17.168,15.578,13.834,12.870,11.880,10.870,9.888,9.104,8.393,7.998,7.232,6.674,6.302,5.795,5.572,5.178,4.753
126.3,0.005,0.002,0.002,0.001,0.000,26.608,24.034,21.894,19.806,18.280,16.356,14.907,13.878,12.896,11.653,10.844,10.038,9.552,8.695,8.057,7.529,7.081,6.621,6.252,5.846
131.0,0.006,0.002,0.001,0.001,0.001,29.972,27.558,25.138,22.564,20.966,19.017,17.419,16.158,15.032,13.759,12.736,11.873,11.186,10.238,9.469,8.961,8.426,7.849,7.531,7.003
135.8,0.004,0.004,0.001,0.001,0.000,33.905,31.249,28.697,25.993,23.890,21.837,20.283,18.842,17.351,16.156,15.031,13.945,13.116,12.205,11.333,10.704,10.022,9.463,8.944,8.448
140.7,0.007,0.003,0.002,0.001,0.000,37.722,35.016,32.129,29.412,27.325,25.118,23.328,21.664,20.322,18.741,17.517,16.243,15.347,14.326,13.252,12.703,11.917,11.158,10.675,10.121
145.9,0.008,0.004,0.002,0.001,0.000,41.739,39.058,36.438,33.491,30.805,28.628,26.648,24.942,23.244,21.678,20.420,18.861,17.869,16.674,15.662,14.744,13.890,13.076,12.507,11.779
151.2,0.008,0.004,0.002,0.002,0.001,45.906,43.004,40.604,37.550,34.816,32.678,30.229,28.457,26.665,24.923,23.410,22.018,20.375,19.585,18.268,17.113,16.104,15.480,14.653,13.928
156.8,0.009,0.004,0.002,0.001,0.000,50.351,47.590,44.756,41.850,38.847,36.323,34.102,32.087,30.014,28.409,26.751,25.137,23.646,22.151,21.042,19.796,18.551,17.840,16.922,15.982
162.5,0.010,0.003,0.002,0.001,0.002,54.828,52.802,49.549,46.834,43.380,41.124,38.497,36.275,34.013,32.101,30.351,28.674,26.984,25.150,23.959,22.894,21.388,20.484,19.528,18.478
168.5,0.010,0.005,0.003,0.003,0.001,59.849,57.771,54.624,51.500,47.828,45.488,42.911,40.496,37.900,36.232,34.266,32.589,30.484,28.877,27.142,26.031,24.363,23.384,22.425,21.192
174.7,0.012,0.006,0.003,0.003,0.001,64.921,62.675,59.091,56.058,52.888,50.093,47.397,44.598,42.414,40.324,38.196,36.042,34.136,32.294,30.841,29.417,27.861,26.577,25.582,24.338
181.1,0.011,0.006,0.002,0.002,0.002,69.544,67.596,64.662,61.216,58.237,55.021,52.018,49.129,46.933,44.561,42.473,40.321,37.838,36.295,34.418,32.919,31.370,29.825,28.744,27.294
187.7,0.014,0.005,0.003,0.002,0.002,73.771,71.780,69.546,65.894,63.028,60.070,57.071,53.682,51.780,49.095,47.175,44.098,42.027,40.414,38.231,36.751,35.033,33.713,32.050,30.872
194.6,0.013,0.007,0.002,0.001,0.001,78.145,76.383,73.932,70.156,67.197,64.446,61.316,58.335,55.607,53.811,51.346,48.072,46.578,44.216,41.697,40.054,38.693,37.175,35.821,34.104
201.7,0.008,0.007,0.004,0.002,0.001,81.559,80.267,77.627,74.989,71.659,69.247,65.673,62.853,60.472,57.362,55.347,52.496,50.515,48.535,45.944,44.216,42.246,40.998,39.109,37.824
209.1,0.013,0.007,0.004,0.002,0.002,84.794,83.564,81.096,78.702,75.725,73.317,70.137,66.702,64.243,61.291,58.942,56.350,54.331,52.152,49.938,47.767,45.731,44.320,42.718,40.932
216.7,0.012,0.004,0.004,0.002,0.001,87.100,86.006,84.340,81.934,79.160,76.965,73.698,70.857,67.793,64.795,62.561,60.204,58.317,55.857,53.495,50.960,49.069,47.527,46.029,44.078
224.7,0.014,0.007,0.003,0.002,0.001,88.857,88.157,86.556,84.177,81.944,79.883,76.330,73.824,71.115,68.271,65.986,63.318,61.021,58.717,57.235,54.032,52.696,50.667,49.112,47.072
232.9,0.013,0.007,0.004,0.002,0.002,90.337,89.400,88.390,85.819,84.149,82.190,79.139,76.073,72.840,71.095,69.302,66.118,63.670,61.309,59.224,57.142,55.247,53.451,51.611,50.025
241.4,0.010,0.005,0.002,0.003,0.002,90.457,90.073,89.131,87.177,84.648,82.961,80.285,77.909,74.649,73.204,70.778,68.587,65.810,63.308,61.635,59.456,57.549,55.394,53.287,52.252
250.3,0.013,0.007,0.004,0.002,0.001,89.076,89.559,89.411,86.807,84.592,83.003,80.624,78.482,75.680,74.086,72.181,69.365,66.756,64.746,63.659,61.236,59.685,57.045,55.599,54.213
259.5,0.010,0.006,0.003,0.001,0.001,86.986,88.082,88.536,85.971,84.245,82.775,80.641,78.802,75.692,74.295,71.807,69.901,67.866,65.900,64.388,61.931,60.681,58.602,56.275,55.734
269.0,0.013,0.008,0.005,0.001,0.001,84.234,85.595,85.706,83.675,83.229,81.371,78.767,76.927,75.617,73.751,71.118,69.455,67.325,65.078,64.746,62.048,60.554,58.508,56.674,56.059
278.8,0.011,0.005,0.002,0.001,0.001,80.029,82.231,83.075,81.074,80.219,79.135,77.104,75.314,73.760,72.531,69.715,68.106,66.687,64.517,62.852,61.319,60.275,57.722,56.132,55.341
289.0,0.005,0.006,0.004,0.003,0.000,76.486,79.355,78.614,77.325,76.246,75.394,73.846,71.931,71.470,70.133,67.513,65.971,65.396,62.780,61.834,60.009,58.667,57.372,54.868,53.890
299.6,0.004,0.011,0.003,0.000,0.000,71.802,74.600,73.978,73.185,72.262,70.525,70.315,68.391,67.737,66.514,63.772,63.916,62.459,60.409,59.023,57.895,56.247,55.465,53.307,52.415
310.6,0.007,0.003,0.004,0.001,0.001,66.564,69.724,68.811,68.516,67.379,66.051,65.347,64.494,63.695,62.550,60.672,60.322,58.675,57.059,56.524,54.610,53.753,52.849,50.514,49.442
322.0,0.012,0.001,0.004,0.001,0.000,62.086,63.843,63.796,62.902,62.462,61.725,60.469,59.999,59.144,58.808,56.030,56.712,54.681,53.564,52.786,51.707,50.429,49.318,47.951,46.732
333.8,0.000,0.003,0.001,0.000,0.000,56.417,58.531,57.774,57.075,56.381,56.199,54.810,54.343,53.328,53.145,51.270,51.190,49.363,49.363,48.290,47.368,46.543,45.196,43.935,43.489
346.0,0.000,0.002,0.002,0.000,0.000,50.021,51.919,51.880,51.295,50.778,50.692,49.161,48.774,48.074,48.334,46.189,45.890,44.621,44.313,43.268,42.844,42.148,40.794,39.910,39.134
358.7,0.000,0.002,0.002,0.002,0.002,44.877,46.171,46.758,45.874,45.595,45.417,44.232,42.963,43.299,42.677,41.768,40.524,39.776,39.445,38.866,38.655,37.882,36.449,35.433,35.358
371.8,0.001,0.004,0.000,0.002,0.000,39.317,40.470,40.825,40.355,40.063,39.598,39.336,37.494,38.196,37.139,35.917,35.989,35.084,34.694,34.184,33.952,33.305,32.632,31.414,31.561
385.4,0.009,0.002,0.000,0.000,0.000,33.992,35.704,35.313,34.813,35.691,33.941,33.593,32.772,32.481,32.412,31.501,31.477,30.487,30.070,29.296,29.333,29.042,28.160,27.966,27.699
399.5,0.018,0.002,0.000,0.002,0.000,29.520,30.157,30.114,30.090,29.968,28.986,29.135,28.123,27.970,27.033,26.811,27.433,26.334,26.285,25.110,25.113,24.689,24.705,24.074,23.549
414.2,0.008,0.000,0.003,0.000,0.000,25.201,25.859,25.865,26.364,25.897,24.516,24.230,23.716,23.950,23.059,22.369,23.021,22.165,21.926,20.812,21.130,20.770,20.788,20.677,19.394
