Start Time,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00
Sample Temp (C),22.5,22.4,22.3,22.3,22.2,22.2,22.2,22.3,22.4,22.5,22.5,22.6,22.7,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1,23.2,23.2,23.2
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.4,81.4
Relative Humidity (%),56.6,56.5,56.5,56.7,56.9,57.1,57.3,57.5,57.6,57.7,57.8,57.8,57.7,57.6,57.5,57.4,57.2,57.1,56.9,56.8,56.6,56.4,56.3,56.2,56.0,55.9,55.8
Mean Free Path (m),8.34706e-008,8.34347e-008,8.33988e-008,8.33988e-008,8.33629e-008,8.33629e-008,8.33629e-008,8.33988e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.37220e-008,8.38249e-008,8.38249e-008
Gas Viscosity (Pa*s),1.83006e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 57.3,0.001,0.000,0.001,0.001,0.001,0.013,0.146,0.117,0.081,0.057,0.039,0.028,0.019,0.013,0.010,0.007,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 59.4,0.001,0.001,0.001,0.001,0.001,0.016,0.155,0.131,0.091,0.062,0.045,0.031,0.022,0.015,0.011,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 61.5,0.001,0.001,0.001,0.001,0.001,0.020,0.171,0.144,0.100,0.070,0.049,0.036,0.025,0.017,0.012,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000
 63.8,0.001,0.001,0.001,0.001,0.001,0.023,0.193,0.155,0.113,0.077,0.055,0.038,0.028,0.018,0.013,0.009,0.006,0.005,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.000
 66.1,0.001,0.001,0.001,0.001,0.001,0.027,0.211,0.172,0.120,0.086,0.061,0.042,0.030,0.022,0.014,0.010,0.008,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000
 68.5,0.002,0.001,0.001,0.001,0.001,0.031,0.234,0.192,0.134,0.093,0.068,0.047,0.032,0.025,0.016,0.012,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000
 71.0,0.001,0.002,0.001,0.001,0.002,0.034,0.250,0.208,0.147,0.103,0.075,0.054,0.037,0.026,0.019,0.013,0.009,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000
 73.7,0.002,0.002,0.001,0.002,0.001,0.040,0.270,0.224,0.157,0.116,0.080,0.057,0.040,0.027,0.021,0.013,0.009,0.007,0.005,0.004,0.004,0.002,0.002,0.001,0.001,0.001,0.001
 76.4,0.002,0.002,0.002,0.002,0.002,0.049,0.293,0.242,0.168,0.121,0.090,0.062,0.045,0.030,0.023,0.016,0.011,0.008,0.006,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001
 79.1,0.002,0.002,0.002,0.002,0.002,0.058,0.320,0.260,0.188,0.137,0.095,0.069,0.046,0.036,0.025,0.017,0.013,0.009,0.007,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001
 82.0,0.003,0.002,0.002,0.002,0.002,0.067,0.342,0.290,0.205,0.147,0.102,0.076,0.053,0.041,0.030,0.019,0.014,0.011,0.007,0.006,0.004,0.004,0.002,0.001,0.002,0.001,0.001
 85.1,0.002,0.003,0.003,0.003,0.003,0.076,0.382,0.316,0.228,0.161,0.118,0.081,0.061,0.042,0.028,0.021,0.015,0.011,0.010,0.006,0.005,0.004,0.003,0.002,0.001,0.001,0.001
 88.2,0.004,0.003,0.003,0.003,0.003,0.083,0.402,0.341,0.240,0.179,0.129,0.092,0.066,0.048,0.034,0.023,0.016,0.012,0.010,0.007,0.005,0.003,0.003,0.002,0.002,0.001,0.001
 91.4,0.003,0.004,0.004,0.003,0.003,0.096,0.442,0.374,0.271,0.192,0.141,0.102,0.076,0.054,0.037,0.025,0.019,0.014,0.010,0.007,0.006,0.004,0.004,0.002,0.001,0.001,0.001
 94.7,0.004,0.004,0.004,0.005,0.004,0.107,0.496,0.399,0.284,0.210,0.154,0.110,0.083,0.056,0.040,0.030,0.021,0.015,0.011,0.009,0.006,0.004,0.004,0.003,0.002,0.002,0.001
 98.2,0.005,0.005,0.004,0.005,0.004,0.122,0.529,0.446,0.309,0.226,0.168,0.125,0.085,0.062,0.045,0.033,0.023,0.018,0.013,0.008,0.009,0.005,0.005,0.004,0.002,0.002,0.001
101.8,0.006,0.005,0.005,0.004,0.005,0.136,0.574,0.469,0.342,0.253,0.179,0.137,0.099,0.069,0.052,0.035,0.025,0.020,0.013,0.011,0.007,0.007,0.004,0.004,0.003,0.002,0.002
105.5,0.006,0.005,0.005,0.005,0.006,0.161,0.623,0.502,0.367,0.272,0.199,0.142,0.105,0.074,0.054,0.038,0.030,0.021,0.015,0.012,0.010,0.006,0.005,0.004,0.003,0.002,0.002
