Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_Troubleshoot_27062022\20220627_troubleshooting_1.A21
Sample Time,45
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Date,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22
Start Time,13:19:10,13:20:10,13:21:11,13:22:10,13:23:10,13:24:10,13:25:10,13:26:11,13:27:10,13:28:10,13:46:28,13:47:28,13:48:29,13:49:28,13:50:28,13:51:28,13:52:28,13:53:28,13:54:28,14:12:16,14:13:16,14:14:16,14:15:16,14:16:16,14:17:16,14:18:16,14:20:46,14:21:47,14:22:46,14:30:00,14:31:00,14:32:00,14:33:00,14:34:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,0.000564521,0.00116751,0.000988377,0.00088967,0.000800878,0.000780643,0.000764419,0.000753511,0.000754615,0.000732081,3.03516e-006,3.21911e-006,3.12714e-006,3.2651e-005,3.13081e-005,2.68198e-005,2.50171e-005,2.4502e-005,2.27177e-005,4.85626e-006,5.62884e-006,6.32785e-006,5.7944e-006,5.47617e-005,5.71714e-005,5.99306e-005,7.55663e-005,5.58654e-005,4.93168e-005,5.58286e-005,5.10643e-005,4.79923e-005,5.32349e-005,0.000194342
2.129,3.9433e-005,0.000131443,7.22939e-005,7.88661e-005,7.88661e-005,5.25774e-005,3.9433e-005,2.62887e-005,7.88661e-005,7.22939e-005,0,6.57217e-006,0,1.97165e-005,6.57217e-006,6.57217e-006,1.97165e-005,1.31443e-005,3.28609e-005,0,0,1.31443e-005,0,0,0,0,6.57217e-006,6.57217e-006,6.57217e-006,0,0,0,0,0.000959537
2.288,6.52452e-005,0.000146802,0.000106024,8.97122e-005,5.70896e-005,9.78679e-005,0.000114179,8.97122e-005,6.52452e-005,4.07783e-005,0,8.15566e-006,8.15566e-006,0,8.15566e-006,0,0,0,0,1.63113e-005,1.63113e-005,1.63113e-005,2.4467e-005,0,8.15566e-006,0,0,4.89339e-005,0,0,0,0,0,0.00103577
2.458,5.06033e-005,0.000101207,0.000101207,7.08446e-005,4.04827e-005,5.06033e-005,4.04827e-005,7.08446e-005,4.04827e-005,4.04827e-005,0,1.01207e-005,0,0,0,0,1.01207e-005,0,2.02413e-005,1.01207e-005,0,2.02413e-005,1.01207e-005,0,0,0,1.01207e-005,3.0362e-005,0,0,0,1.01207e-005,1.01207e-005,0.000981704
2.642,0.000113032,0.000125591,0.000125591,5.02364e-005,7.53547e-005,6.27956e-005,1.25591e-005,6.27956e-005,5.02364e-005,3.76773e-005,0,2.51182e-005,1.25591e-005,0,0,0,0,0,0,0,0,0,2.51182e-005,1.25591e-005,0,0,1.25591e-005,5.02364e-005,0,0,0,0,0,0.000879138
2.839,1.55851e-005,4.67552e-005,6.23403e-005,9.35105e-005,6.23403e-005,3.11702e-005,3.11702e-005,3.11702e-005,4.67552e-005,6.23403e-005,0,3.11702e-005,1.55851e-005,0,1.55851e-005,0,0,0,0,3.11702e-005,1.55851e-005,3.11702e-005,1.55851e-005,0,0,0,0,1.55851e-005,0,0,0,0,0,0.000732499
3.051,5.80203e-005,9.67005e-005,0.000116041,3.86802e-005,7.73604e-005,0,0,1.93401e-005,3.86802e-005,1.93401e-005,1.93401e-005,1.93401e-005,0,0,0,0,0,0,0,5.80203e-005,1.93401e-005,0,0,0,0,0,0,3.86802e-005,1.93401e-005,0,0,0,0,0.000483503
3.278,0,4.79997e-005,4.79997e-005,0.000167999,7.19996e-005,2.39999e-005,0,7.19996e-005,2.39999e-005,4.79997e-005,2.39999e-005,2.39999e-005,2.39999e-005,0,0,0,0,0,0,2.39999e-005,2.39999e-005,0,4.79997e-005,0,0,0,0,4.79997e-005,0,0,0,0,0,0.000575997
3.523,2.97823e-005,0,5.95647e-005,2.97823e-005,5.95647e-005,2.97823e-005,0,0,2.97823e-005,2.97823e-005,0,5.95647e-005,2.97823e-005,0,0,0,0,0,0,2.97823e-005,0,2.97823e-005,5.95647e-005,0,0,0,0,5.95647e-005,0,0,0,0,0,0.000327606
3.786,7.39161e-005,0,0,7.39161e-005,3.6958e-005,0,3.6958e-005,0,0,0,0,3.6958e-005,7.39161e-005,0,0,0,0,0,0,3.6958e-005,7.39161e-005,0,3.6958e-005,0,0,0,3.6958e-005,3.6958e-005,0,0,0,0,0,0.000554371
4.068,0,0,4.58626e-005,4.58626e-005,0.000137588,4.58626e-005,0,0,0,0,0,4.58626e-005,0,0,0,0,0,0,0,0,4.58626e-005,0,0,0,0,0,0,0,0,0,0,0,0,0.000321038
