Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00
Sample Temp (C),22.2,22.3,22.4,22.4,22.5,22.5,22.6,22.6,22.6,22.7,22.7,22.7
Sample Pressure (kPa),81.6,81.6,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),53.1,52.9,52.7,52.5,52.3,52.2,52.0,51.8,51.7,51.5,51.3,51.1
Mean Free Path (m),8.32607e-008,8.32966e-008,8.34347e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35065e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35424e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
333.8,0.004,0.007,0.007,0.000,0.000,5.056,13.611,19.998,19.350,18.739,18.446,18.001
346.0,0.008,0.003,0.002,0.000,0.000,5.046,12.944,19.124,19.010,18.445,17.689,17.617
358.7,0.002,0.005,0.000,0.000,0.000,4.998,12.377,18.172,18.077,17.606,16.879,16.715
371.8,0.008,0.006,0.000,0.004,0.000,4.968,11.862,17.007,17.290,17.194,16.081,15.716
385.4,0.011,0.000,0.009,0.000,0.000,4.630,10.978,15.938,15.885,15.672,15.039,14.964
399.5,0.012,0.002,0.002,0.000,0.000,4.479,9.973,14.668,14.827,14.254,13.825,13.799
414.2,0.006,0.003,0.003,0.000,0.000,3.953,9.150,13.188,13.385,13.248,12.827,12.575
429.4,0.010,0.003,0.000,0.000,0.000,3.537,8.210,12.240,12.378,12.278,11.636,11.415
445.1,0.007,0.000,0.004,0.000,0.000,3.031,7.162,10.723,11.160,11.149,10.376,10.339
461.4,0.000,0.000,0.000,0.000,0.000,2.725,6.448,9.471,9.768,9.603,9.367,8.639
478.3,0.000,0.005,0.000,0.000,0.000,2.456,5.509,8.215,8.319,8.355,8.266,7.862
495.8,0.005,0.000,0.000,0.000,0.000,1.923,4.490,6.862,7.607,7.319,7.149,6.765
514.0,0.000,0.000,0.000,0.000,0.000,1.796,3.645,5.825,6.070,6.456,5.760,5.920
532.8,0.000,0.000,0.000,0.000,0.000,1.446,3.236,4.918,5.303,5.275,4.974,4.994
552.3,0.000,0.000,0.000,0.000,0.000,1.080,2.602,3.991,4.462,4.319,4.204,4.403
572.5,0.000,0.000,0.000,0.000,0.000,1.021,2.191,3.279,3.616,3.730,3.312,3.363
593.5,0.000,0.000,0.000,0.000,0.000,0.855,1.848,2.915,2.980,3.017,2.700,2.470
615.3,0.000,0.000,0.000,0.000,0.000,0.600,1.410,2.205,2.596,2.041,2.482,2.561
637.8,0.000,0.000,0.000,0.000,0.000,0.416,1.288,2.049,1.748,2.189,2.312,1.789
661.2,0.000,0.000,0.000,0.000,0.000,0.441,0.935,1.533,1.476,1.596,1.800,1.803
685.4,0.000,0.000,0.000,0.000,0.000,0.275,0.679,1.223,1.431,1.265,1.212,1.180
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
736.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.876,0.876,0.876,0.876,0.876,0.876,0.877,0.877,0.877,0.877,0.877,0.877
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.34,10.34,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32
High Voltage (V),9736.83,9738.21,9737.60,9737.60,9739.33,9739.33,9741.05,9740.70,9740.70,9742.42,9742.42,9742.42
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
