Sample #,1,2,3,4,5,6,7,8,9,10,11
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00
Sample Temp (C),22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),48.7,48.5,48.4,48.3,48.2,48.0,47.9,47.8,47.7,47.6,47.5
Mean Free Path (m),8.35424e-008,8.35424e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005
Diameter Midpoint (nm)
310.6,0.007,0.006,0.007,0.001,0.000,3.933,8.736,8.500,8.098,7.772,7.549
322.0,0.015,0.006,0.005,0.004,0.002,3.966,8.724,8.281,7.852,7.610,7.227
333.8,0.012,0.008,0.003,0.004,0.003,3.914,8.391,8.134,7.464,7.261,6.937
346.0,0.008,0.003,0.002,0.002,0.002,3.846,8.237,7.761,7.389,7.302,6.619
358.7,0.005,0.003,0.005,0.002,0.002,3.637,7.626,7.129,6.903,6.976,6.375
371.8,0.006,0.000,0.002,0.000,0.001,3.378,7.462,7.247,6.643,6.473,6.022
385.4,0.004,0.004,0.007,0.000,0.001,3.343,6.857,6.220,6.306,5.818,5.830
399.5,0.007,0.002,0.002,0.000,0.002,3.119,6.323,5.931,5.705,5.290,5.252
414.2,0.006,0.008,0.000,0.003,0.000,2.998,5.809,5.561,5.182,5.031,4.772
429.4,0.006,0.006,0.000,0.003,0.006,2.670,5.094,4.976,4.850,4.600,4.317
445.1,0.004,0.004,0.000,0.004,0.000,2.464,4.627,4.445,4.325,4.110,4.090
461.4,0.000,0.000,0.000,0.000,0.004,2.191,3.968,4.047,4.014,3.769,3.386
478.3,0.005,0.000,0.000,0.000,0.000,1.919,3.591,3.654,3.299,3.027,3.027
495.8,0.000,0.000,0.000,0.000,0.000,1.756,3.074,2.750,2.701,2.688,2.357
514.0,0.000,0.006,0.000,0.000,0.000,1.393,2.810,2.461,2.380,2.133,2.251
532.8,0.000,0.000,0.000,0.000,0.000,1.217,2.158,2.157,2.014,1.756,1.620
552.3,0.000,0.000,0.000,0.000,0.000,1.152,1.867,1.801,1.523,1.497,1.463
572.5,0.000,0.000,0.000,0.000,0.000,1.017,1.586,1.524,1.259,1.331,1.240
593.5,0.000,0.000,0.000,0.000,0.000,0.830,1.242,1.428,0.854,1.222,1.058
615.3,0.000,0.000,0.000,0.000,0.000,0.578,1.155,1.168,1.093,0.889,0.844
637.8,0.000,0.000,0.000,0.000,0.000,0.489,0.976,0.846,0.807,0.814,0.696
661.2,0.000,0.000,0.000,0.000,0.000,0.368,0.562,0.652,0.482,0.571,0.553
685.4,0.000,0.000,0.000,0.000,0.000,0.290,0.529,0.500,0.500,0.561,0.544
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
736.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.877,0.877,0.877,0.877,0.877,0.878,0.877,0.878,0.878,0.877,0.878
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.32,10.32,10.32,10.32,10.32,10.31,10.31,10.31,10.31,10.31,10.31
High Voltage (V),9742.77,9742.42,9744.14,9745.86,9745.86,9747.58,9747.23,9749.30,9748.95,9748.95,9749.30
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9,749.9
Density (g/cm³),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
td + 0.5 (s),1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
tf (s),6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40
D50 (nm),694.6,694.6,694.7,694.8,694.8,694.4,694.8,694.5,694.5,694.9,694.5
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),231.124,235.651,235.930,233.236,244.673,299.316,278.171,277.410,275.776,276.192,274.686
Mean (nm),236.670,248.525,235.711,243.422,265.331,315.057,292.604,292.410,290.475,290.708,289.726
Geo. Mean (nm),214.713,225.711,217.154,221.634,240.359,294.249,270.153,269.730,268.170,268.225,267.342
Mode (nm),321.968,299.614,310.590,232.910,429.351,289.026,299.614,289.026,289.026,278.813,278.813
Geo. Std. Dev.,1.595,1.585,1.540,1.577,1.602,1.460,1.510,1.513,1.510,1.512,1.512
Total Conc. (µg/m³),3.445372e-001,2.174867e-001,1.292134e-001,8.113331e-002,6.929250e-002,1.051975e+002,2.488601e+002,2.393316e+002,2.289816e+002,2.207754e+002,2.120515e+002
Title,,,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,,,
Instrument ID,,,,,,,,,,,
Lab ID,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,
