Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022
Start Time,16:15:01,16:18:01,16:21:01,16:24:01,16:27:01,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00
Sample Temp (C),23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.5,23.5,23.5,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),41.6,41.6,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.8,41.8,41.8,41.8,41.9,41.9,41.9,42.0,42.0,42.1,42.1,42.1,42.2,42.2,42.3,42.3,42.3,42.4
Mean Free Path (m),8.39640e-008,8.39640e-008,8.40000e-008,8.40000e-008,8.38968e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008
Gas Viscosity (Pa*s),1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005
Diameter Midpoint (nm)
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.032,0.031,0.027,0.026,0.024,0.022,0.020,0.019,0.018,0.017,0.016,0.014,0.014,0.013,0.012,0.011,0.010,0.010,0.010,0.009
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.035,0.033,0.031,0.028,0.027,0.025,0.022,0.021,0.020,0.019,0.018,0.017,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.010
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.040,0.037,0.034,0.032,0.030,0.028,0.025,0.023,0.023,0.021,0.020,0.019,0.017,0.016,0.015,0.014,0.014,0.013,0.012,0.011
 40.0,0.001,0.000,0.000,0.000,0.000,0.000,0.039,0.043,0.040,0.038,0.035,0.032,0.030,0.028,0.026,0.025,0.023,0.022,0.021,0.020,0.018,0.017,0.016,0.015,0.015,0.014,0.013
 41.4,0.001,0.000,0.000,0.000,0.000,0.001,0.044,0.047,0.045,0.040,0.039,0.037,0.034,0.031,0.029,0.028,0.027,0.025,0.023,0.023,0.021,0.019,0.018,0.017,0.016,0.016,0.015
 42.9,0.001,0.000,0.000,0.000,0.000,0.001,0.048,0.051,0.049,0.045,0.043,0.041,0.038,0.035,0.033,0.031,0.030,0.027,0.026,0.024,0.023,0.022,0.020,0.020,0.018,0.017,0.017
 44.5,0.001,0.000,0.000,0.000,0.000,0.002,0.052,0.058,0.055,0.049,0.047,0.044,0.041,0.038,0.037,0.035,0.032,0.030,0.029,0.028,0.026,0.025,0.023,0.022,0.021,0.019,0.018
 46.1,0.001,0.000,0.000,0.000,0.000,0.002,0.058,0.063,0.058,0.056,0.053,0.050,0.046,0.044,0.040,0.040,0.036,0.035,0.032,0.031,0.030,0.028,0.026,0.025,0.024,0.023,0.021
 47.8,0.001,0.000,0.000,0.000,0.000,0.003,0.062,0.068,0.065,0.061,0.057,0.055,0.051,0.048,0.046,0.043,0.040,0.038,0.036,0.034,0.033,0.031,0.029,0.029,0.027,0.026,0.023
 49.6,0.001,0.001,0.000,0.000,0.000,0.004,0.069,0.076,0.071,0.068,0.063,0.060,0.056,0.053,0.051,0.048,0.045,0.043,0.040,0.038,0.036,0.035,0.033,0.032,0.031,0.029,0.027
 51.4,0.001,0.001,0.000,0.000,0.000,0.005,0.076,0.084,0.080,0.074,0.069,0.066,0.061,0.059,0.055,0.053,0.051,0.050,0.045,0.044,0.041,0.040,0.037,0.034,0.035,0.033,0.030
 53.3,0.001,0.001,0.000,0.000,0.000,0.006,0.082,0.090,0.086,0.081,0.077,0.072,0.068,0.065,0.061,0.059,0.056,0.054,0.052,0.050,0.047,0.042,0.042,0.039,0.039,0.036,0.033
 55.2,0.001,0.001,0.000,0.000,0.000,0.008,0.091,0.098,0.095,0.088,0.086,0.079,0.078,0.070,0.069,0.064,0.062,0.059,0.055,0.053,0.051,0.049,0.046,0.043,0.043,0.041,0.038
 57.3,0.002,0.001,0.000,0.000,0.000,0.009,0.101,0.110,0.103,0.098,0.095,0.088,0.084,0.079,0.074,0.072,0.069,0.066,0.061,0.061,0.057,0.054,0.053,0.050,0.048,0.045,0.043
