Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:01,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:01,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.52727e-007,4.19553e-007,1.80984e-007,1.39851e-007,3.24948e-007,1.52191e-007,1.11058e-007,9.46051e-008,6.1699e-008,8.63785e-008,0.000525766,0.00137045,0.00132804,0.00127033,0.00122656,0.00116338,0.00113218,0.00109491,0.00106482,0.0010329,0.000982523,0.000967144,0.000929441,0.000896696,0.000875891,0.000851783,0.000829431,0.00079748,0.000766749,0.000751358,0.000728521,0.000707601,0.000683147
2.288,0,0,0,0,1.82368e-006,0,0,0,0,0,0.01479,0.0401154,0.0377027,0.0353684,0.0323465,0.0291733,0.0264998,0.0238427,0.0220355,0.0199528,0.018576,0.0168581,0.0151967,0.0139876,0.0125834,0.0116971,0.0104497,0.00937734,0.0086114,0.00808983,0.00711416,0.00634275,0.00589959
2.458,0,0,0,0,0,2.26307e-006,0,0,0,0,0.0153029,0.0423941,0.0389972,0.0357723,0.0324117,0.0290623,0.0265616,0.023511,0.021386,0.0192089,0.0177606,0.0158053,0.0141351,0.0131326,0.0116888,0.0104644,0.00948905,0.00832809,0.00773517,0.00706078,0.00620307,0.00540421,0.00504212
2.642,0,0,0,0,0,0,0,0,0,0,0.0160777,0.0436835,0.0397406,0.0358062,0.0319784,0.0293611,0.0257018,0.0225144,0.0206075,0.018021,0.0165214,0.0142298,0.0129885,0.0114327,0.0101184,0.00909898,0.00784366,0.00697027,0.00627942,0.00522068,0.00471799,0.00388673,0.00375754
2.839,0,0,0,0,6.96992e-006,0,0,0,0,0,0.0159123,0.0427012,0.0391779,0.0345255,0.0301937,0.0264752,0.0235339,0.0202894,0.0178639,0.0160238,0.0136506,0.0118593,0.0106187,0.00915499,0.00826284,0.0069978,0.00590004,0.00507062,0.00459318,0.0041471,0.00341875,0.00279494,0.00274615
3.051,0,0,0,0,4.32462e-006,0,0,0,0,0,0.015028,0.0418796,0.0367074,0.0322054,0.0278505,0.0240665,0.0206068,0.0176271,0.0152875,0.0132247,0.0113867,0.0093801,0.0082038,0.00708805,0.005955,0.00508143,0.00443706,0.00379701,0.00322184,0.00284992,0.00251693,0.00185959,0.00167363
3.278,0,0,0,0,0,0,0,0,0,0,0.0145327,0.0387897,0.0342978,0.0291191,0.0259421,0.0219386,0.0183537,0.0151069,0.0135775,0.0112806,0.00931102,0.00787278,0.00670286,0.00571541,0.0045133,0.00398737,0.00315555,0.00258669,0.002152,0.00179244,0.00145971,0.00108942,0.000917686
3.523,0,0,0,0,0,6.65959e-006,0,0,0,0,0.0151905,0.0381462,0.0325055,0.02827,0.024514,0.0197324,0.016962,0.0139785,0.011934,0.00956984,0.0078783,0.00661964,0.0055208,0.00466172,0.00384259,0.00286363,0.00253731,0.00207113,0.00157166,0.00145179,0.00122537,0.000899045,0.0006593
3.786,0,0,0,8.26414e-006,0,0,0,0,0,0,0.0136772,0.0344697,0.0290485,0.0247346,0.0199496,0.0171894,0.0139416,0.0116359,0.00947897,0.00767739,0.00612373,0.00488411,0.00437173,0.00364449,0.00288419,0.00233875,0.00180158,0.00158672,0.00138011,0.00106607,0.000950376,0.000595018,0.000520641
4.068,0,0,0,0,0,0,0,0,0,0,0.0128806,0.0337912,0.0278841,0.0227257,0.018439,0.0145523,0.0112911,0.00980405,0.00733253,0.00578398,0.00505586,0.00386624,0.0034868,0.00253306,0.00214336,0.00152804,0.00142548,0.000994763,0.000830678,0.000758891,0.000553786,0.000471743,0.00036919
4.371,0,0,0,0,1.27262e-005,0,0,0,0,0,0.0118099,0.0322354,0.0246506,0.0194074,0.0151441,0.0115299,0.00873015,0.00761025,0.00566315,0.00468323,0.00369059,0.00268522,0.00229071,0.00171803,0.0011199,0.00113263,0.0011199,0.000623582,0.000674487,0.000534499,0.000381785,0.000292702,0.000279976
