Mean Free Path (m),8.38657e-008,8.39016e-008,8.39376e-008,8.40407e-008,8.40767e-008,8.40767e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41846e-008,8.42881e-008,8.42881e-008,8.41846e-008,8.42881e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.42206e-008,8.43241e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005
Diameter Midpoint (nm)
 82.0,0.003,0.001,0.001,0.001,0.000,0.058,0.232,0.174,0.108,0.068,0.043,0.026,0.017,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000
 85.1,0.003,0.002,0.001,0.001,0.001,0.061,0.256,0.192,0.119,0.069,0.044,0.029,0.018,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 88.2,0.004,0.002,0.001,0.001,0.000,0.065,0.272,0.198,0.122,0.075,0.049,0.030,0.018,0.013,0.008,0.005,0.003,0.002,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 91.4,0.004,0.002,0.001,0.001,0.001,0.070,0.295,0.224,0.133,0.085,0.052,0.034,0.021,0.014,0.009,0.005,0.005,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000
 94.7,0.005,0.002,0.001,0.001,0.001,0.080,0.305,0.231,0.142,0.089,0.055,0.033,0.022,0.016,0.008,0.005,0.005,0.003,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 98.2,0.004,0.001,0.001,0.001,0.001,0.093,0.339,0.254,0.153,0.095,0.056,0.036,0.023,0.017,0.009,0.007,0.004,0.002,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.000
101.8,0.005,0.002,0.001,0.001,0.001,0.104,0.364,0.272,0.169,0.104,0.061,0.042,0.026,0.015,0.010,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.000
105.5,0.006,0.003,0.002,0.001,0.000,0.115,0.386,0.294,0.178,0.104,0.067,0.043,0.026,0.018,0.009,0.008,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000
109.4,0.007,0.003,0.001,0.001,0.000,0.128,0.419,0.297,0.188,0.117,0.072,0.045,0.028,0.019,0.013,0.008,0.006,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.001
113.4,0.006,0.003,0.002,0.001,0.001,0.136,0.455,0.323,0.203,0.127,0.082,0.048,0.029,0.018,0.012,0.008,0.006,0.003,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.001,0.000
117.6,0.007,0.004,0.002,0.001,0.001,0.152,0.476,0.354,0.207,0.134,0.088,0.056,0.031,0.022,0.013,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001
121.9,0.007,0.004,0.002,0.001,0.001,0.174,0.508,0.369,0.234,0.144,0.088,0.054,0.034,0.023,0.012,0.008,0.007,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.001
126.3,0.007,0.003,0.002,0.001,0.000,0.183,0.548,0.401,0.246,0.158,0.099,0.060,0.036,0.022,0.014,0.010,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.001,0.001,0.002
131.0,0.009,0.004,0.002,0.001,0.001,0.191,0.585,0.429,0.267,0.157,0.103,0.057,0.042,0.026,0.018,0.012,0.007,0.004,0.004,0.002,0.001,0.002,0.001,0.000,0.001,0.001,0.000
135.8,0.008,0.004,0.001,0.001,0.001,0.217,0.621,0.445,0.286,0.167,0.109,0.067,0.041,0.026,0.016,0.010,0.006,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001
140.7,0.008,0.004,0.002,0.001,0.001,0.241,0.657,0.500,0.300,0.177,0.110,0.074,0.044,0.030,0.020,0.014,0.006,0.005,0.004,0.002,0.002,0.002,0.001,0.001,0.000,0.002,0.000
145.9,0.010,0.004,0.003,0.001,0.000,0.262,0.725,0.519,0.313,0.203,0.119,0.073,0.045,0.028,0.020,0.014,0.006,0.005,0.005,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.002
151.2,0.010,0.005,0.002,0.001,0.001,0.278,0.738,0.539,0.343,0.208,0.134,0.087,0.057,0.034,0.022,0.014,0.011,0.006,0.005,0.004,0.002,0.001,0.001,0.001,0.002,0.001,0.001
156.8,0.008,0.004,0.002,0.001,0.001,0.312,0.784,0.562,0.363,0.224,0.144,0.088,0.054,0.034,0.022,0.013,0.009,0.006,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001
162.5,0.010,0.006,0.003,0.001,0.001,0.334,0.857,0.597,0.366,0.222,0.146,0.087,0.051,0.037,0.020,0.015,0.010,0.005,0.004,0.003,0.003,0.002,0.001,0.002,0.002,0.001,0.001
168.5,0.013,0.006,0.002,0.003,0.000,0.370,0.833,0.625,0.413,0.229,0.157,0.098,0.059,0.042,0.022,0.016,0.008,0.006,0.004,0.004,0.004,0.002,0.000,0.001,0.002,0.001,0.001
174.7,0.008,0.003,0.003,0.003,0.001,0.395,0.960,0.658,0.402,0.244,0.149,0.104,0.068,0.039,0.031,0.015,0.010,0.007,0.007,0.005,0.002,0.003,0.002,0.003,0.002,0.002,0.003
181.1,0.013,0.003,0.003,0.002,0.003,0.419,1.022,0.698,0.454,0.257,0.152,0.099,0.069,0.037,0.022,0.019,0.012,0.012,0.005,0.002,0.003,0.002,0.002,0.003,0.001,0.002,0.001
