Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_APS_CADR_oreck_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22
Start Time,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:01,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
Laser Current,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.3,42.2,42.2,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
Sheath Pump Voltage,2.778,2.76,2.765,2.751,2.763,2.764,2.771,2.766,2.75,2.748,2.752,2.748,2.77,2.768,2.767,2.773,2.77,2.767,2.759,2.763,2.759,2.774,2.75,2.757,2.765,2.76,2.753
Total Pump Voltage,2.876,2.879,2.879,2.884,2.878,2.881,2.88,2.881,2.885,2.883,2.885,2.885,2.878,2.878,2.876,2.877,2.879,2.877,2.873,2.877,2.874,2.875,2.876,2.878,2.873,2.877,2.874
Box Temperature,31.6,31.7,31.9,31.8,31.9,31.8,31.7,32,32.2,32.2,32,32.3,32.2,32.3,32.3,32.3,32.5,32.3,32.4,32.4,32.3,32.4,32.5,32.5,32.4,32.4,32.5
Avalanch Photo Diode Temperature,27.5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
Avalanch Photo Diode Voltage,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
Status Flags,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000,0000 0000 0000 0000
Median(µm),2.41694,4.0041,1.09522,6.69603,2.55202,3.08097,2.6888,2.33127,2.12573,2.03517,1.93611,1.83352,1.75992,1.69816,1.64077,1.57412,1.57241,1.55196,1.51543,1.40088,1.37655,1.38032,1.27811,1.29682,1.31928,1.19497,1.2952
Mean(µm),2.63811,3.03426,1.10624,6.07794,2.3517,3.60841,3.19023,2.71946,2.37843,2.25668,2.09648,1.96736,1.85696,1.79466,1.71691,1.66101,1.63359,1.61168,1.57744,1.503,1.51039,1.49509,1.40821,1.47568,1.35707,1.31028,1.45853
Geo. Mean(µm),2.04484,2.40646,1.01984,5.65432,2.26458,2.97563,2.65291,2.29309,2.06033,1.9601,1.85018,1.75172,1.66866,1.61324,1.55744,1.50563,1.48554,1.46714,1.43716,1.37193,1.36063,1.36729,1.29205,1.32209,1.25764,1.21082,1.32518
Mode(µm),4.37144,4.06794,1.71544,6.7317,2.64165,3.27812,2.45824,2.45824,2.12875,2.12875,2.12875,2.12875,2.12875,2.12875,2.12875,1.84342,1.98096,1.98096,1.84342,1.84342,1.59634,1.11397,1.71544,3.52269,1.48551,1.71544,1.98096
Geo. Std. Dev.,2.16343,2.20015,1.50859,1.60095,1.35811,1.89115,1.85631,1.79798,1.72243,1.7007,1.66169,1.63282,1.60278,1.59672,1.57098,1.56997,1.56034,1.55688,1.5529,1.53772,1.5788,1.53721,1.51794,1.58212,1.48456,1.49283,1.56464
Total Conc.(mg/m³),3.19502e-005,1.662e-005,5.52802e-006,5.54689e-005,3.12865e-005,0.58563,1.20712,0.638087,0.314999,0.168956,0.0894524,0.0482562,0.0261732,0.0144519,0.00810957,0.00448971,0.00261181,0.00158562,0.000923625,0.000520998,0.000307752,0.000198347,0.00012336,8.59114e-005,5.42369e-005,3.52385e-005,2.49948e-005
